# TK COMMS SENTINEL - Sample Device Import File,,,,
# Format: ip,name,community,snmp_version,location
# Lines starting with # are ignored,,,,
# snmp_version: v2c (default) or v3,,,,
#,,,,
ip,name,community,snmp_version,location
10.221.0.10,,POCrd19,v2c,
10.221.0.101,,POCrd19,v2c,
10.221.0.102,,POCrd19,v2c,
10.221.0.103,,POCrd19,v2c,
10.221.0.104,,POCrd19,v2c,
10.221.0.105,,POCrd19,v2c,
10.221.0.106,,POCrd19,v2c,
10.221.0.107,,POCrd19,v2c,
10.221.0.108,,POCrd19,v2c,
10.221.0.109,,POCrd19,v2c,
10.221.0.11,,POCrd19,v2c,
10.221.0.110,,POCrd19,v2c,
10.221.0.111,,POCrd19,v2c,
10.221.0.112,,POCrd19,v2c,
10.221.0.113,,POCrd19,v2c,
10.221.0.114,,POCrd19,v2c,
10.221.0.115,,POCrd19,v2c,
10.221.0.116,,POCrd19,v2c,
10.221.0.117,,POCrd19,v2c,
10.221.0.119,,POCrd19,v2c,
10.221.0.12,,POCrd19,v2c,
10.221.0.120,,POCrd19,v2c,
10.221.0.121,,POCrd19,v2c,
10.221.0.122,,POCrd19,v2c,
10.221.0.123,,POCrd19,v2c,
10.221.0.124,,POCrd19,v2c,
10.221.0.125,,POCrd19,v2c,
10.221.0.127,,POCrd19,v2c,
10.221.0.128,,POCrd19,v2c,
10.221.0.129,,POCrd19,v2c,
10.221.0.13,,POCrd19,v2c,
10.221.0.130,,POCrd19,v2c,
10.221.0.131,,POCrd19,v2c,
10.221.0.133,,POCrd19,v2c,
10.221.0.135,,POCrd19,v2c,
10.221.0.136,,POCrd19,v2c,
10.221.0.137,,POCrd19,v2c,
10.221.0.138,,POCrd19,v2c,
10.221.0.139,,POCrd19,v2c,
10.221.0.14,,POCrd19,v2c,
10.221.0.140,,POCrd19,v2c,
10.221.0.141,,POCrd19,v2c,
10.221.0.142,,POCrd19,v2c,
10.221.0.143,,POCrd19,v2c,
10.221.0.144,,POCrd19,v2c,
10.221.0.145,,POCrd19,v2c,
10.221.0.146,,POCrd19,v2c,
10.221.0.147,,POCrd19,v2c,
10.221.0.148,,POCrd19,v2c,
10.221.0.149,,POCrd19,v2c,
10.221.0.15,,POCrd19,v2c,
10.221.0.150,,POCrd19,v2c,
10.221.0.151,,POCrd19,v2c,
10.221.0.152,,POCrd19,v2c,
10.221.0.153,,POCrd19,v2c,
10.221.0.154,,POCrd19,v2c,
10.221.0.155,,POCrd19,v2c,
10.221.0.156,,POCrd19,v2c,
10.221.0.157,,POCrd19,v2c,
10.221.0.158,,POCrd19,v2c,
10.221.0.159,,POCrd19,v2c,
10.221.0.16,,POCrd19,v2c,
10.221.0.161,,POCrd19,v2c,
10.221.0.162,,POCrd19,v2c,
10.221.0.163,,POCrd19,v2c,
10.221.0.164,,POCrd19,v2c,
10.221.0.165,,POCrd19,v2c,
10.221.0.166,,POCrd19,v2c,
10.221.0.167,,POCrd19,v2c,
10.221.0.17,,POCrd19,v2c,
10.221.0.18,,POCrd19,v2c,
10.221.0.19,,POCrd19,v2c,
10.221.0.2,,POCrd19,v2c,
10.221.0.20,,POCrd19,v2c,
10.221.0.202,,POCrd19,v2c,
10.221.0.203,,POCrd19,v2c,
10.221.0.204,,POCrd19,v2c,
10.221.0.21,,POCrd19,v2c,
10.221.0.22,,POCrd19,v2c,
10.221.0.23,,POCrd19,v2c,
10.221.0.24,,POCrd19,v2c,
10.221.0.244,,POCrd19,v2c,
10.221.0.25,,POCrd19,v2c,
10.221.0.27,,POCrd19,v2c,
10.221.0.28,,POCrd19,v2c,
10.221.0.30,,POCrd19,v2c,
10.221.0.32,,POCrd19,v2c,
10.221.0.33,,POCrd19,v2c,
10.221.0.34,,POCrd19,v2c,
10.221.0.39,,POCrd19,v2c,
10.221.0.4,,POCrd19,v2c,
10.221.0.40,,POCrd19,v2c,
10.221.0.5,,POCrd19,v2c,
10.221.0.7,,POCrd19,v2c,
10.221.0.70,,POCrd19,v2c,
10.221.0.8,,POCrd19,v2c,
10.221.0.9,,POCrd19,v2c,
10.221.0.90,,POCrd19,v2c,
10.221.0.91,,POCrd19,v2c,
10.221.0.92,,POCrd19,v2c,
10.221.0.93,,POCrd19,v2c,
